Ticker,Company,Sector,EV (EUR bn),EBITDA (EUR bn),Revenue (EUR bn),Mkt Cap (EUR bn),EV/EBITDA (x),EV/Revenue (x),P/E (x),Data Flag
SAP.DE,SAP SE,Technology,210.2,11.8,38.2,213.2,17.9,5.5,27.7,OK
IFX.DE,Infineon Technologies,Technology,78.4,4.2,15.6,75.7,18.7,5.0,71.1,OK
SHL.DE,Siemens Healthineers,Healthcare,54.8,4.0,23.2,42.2,13.6,2.4,19.2,OK
SRT.DE,Sartorius AG,Healthcare,18.6,0.9,3.6,13.6,19.8,5.2,69.4,OK
MRK.DE,Merck KGaA,Healthcare,65.6,5.6,21.1,57.0,11.7,3.1,24.0,OK
BAYN.DE,Bayer AG,Healthcare,80.7,10.1,45.4,47.6,8.0,1.8,,OK
FRE.DE,Fresenius SE,Healthcare,36.7,3.0,23.3,25.8,12.1,1.6,16.5,OK
QIA.DE,Qiagen NV,Healthcare,8.8,0.7,2.1,7.9,12.0,4.2,22.5,OK
SIE.DE,Siemens AG,Industrials,250.2,12.5,81.1,211.7,20.0,3.1,27.1,OK
ENR.DE,Siemens Energy,Industrials,111.3,4.6,41.8,120.9,24.2,2.7,46.1,OK
RHM.DE,Rheinmetall AG,Industrials,50.7,2.3,11.4,47.0,22.0,4.4,38.6,OK
MTX.DE,MTU Aero Engines,Industrials,18.4,1.4,9.2,18.7,13.1,2.0,20.1,OK
KGX.DE,KION Group,Industrials,12.7,1.7,11.5,5.3,7.3,1.1,13.7,OK
HEI.DE,Heidelberg Materials,Industrials,34.3,4.1,21.7,25.3,8.4,1.6,12.5,OK
BNR.DE,Brenntag SE,Industrials,11.8,1.0,15.2,8.7,11.3,0.8,24.0,OK
AIR.DE,Airbus SE,Industrials,154.3,9.0,77.0,154.1,17.1,2.0,26.0,OK
BMW.DE,BMW AG,Automotive,139.4,13.8,128.0,36.2,10.1,1.1,5.8,EV adj. reqd
MBG.DE,Mercedes-Benz Group,Automotive,127.4,12.0,129.5,41.9,10.6,1.0,8.3,EV adj. reqd
CON.DE,Continental AG,Automotive,19.8,2.7,18.8,13.8,7.3,1.1,,EV adj. reqd
DTG.DE,Daimler Truck,Automotive,52.2,3.8,44.6,33.0,13.9,1.2,29.9,EV adj. reqd
PAH3.DE,Porsche SE,Automotive,13.7,-0.1,,8.4,-238.2,,88.8,N/M – holding co
P911.DE,Porsche AG,Automotive,46.5,3.6,35.3,41.3,12.8,1.3,49.3,OK
VOW3.DE,Volkswagen AG,Automotive,267.2,19.3,321.7,37.9,13.9,0.8,7.2,EV adj. reqd
ALV.DE,Allianz SE,Financials,68.9,21.5,119.4,167.8,3.2,0.6,14.5,N/M – insurer
MUV2.DE,Munich Re,Financials,66.2,,61.5,63.6,,1.1,9.4,N/M – insurer
DBK.DE,Deutsche Bank,Financials,-27.9,,30.5,62.9,,-0.9,10.2,N/M – bank
CBK.DE,Commerzbank,Financials,44.8,,11.9,45.0,,3.8,16.0,N/M – bank
DB1.DE,Deutsche Boerse,Financials,54.9,3.3,7.7,50.8,16.4,7.1,24.3,OK
HNR1.DE,Hannover Re,Financials,28.4,3.4,22.7,30.5,8.3,1.3,11.1,N/M – insurer
VNA.DE,Vonovia SE,Financials,60.9,2.5,6.0,14.8,24.9,10.2,3.9,N/M – REIT
BAS.DE,BASF SE,Chemicals,64.6,6.6,61.6,46.0,9.8,1.0,21.9,OK
SY1.DE,Symrise AG,Chemicals,14.1,0.7,4.9,12.6,19.4,2.9,51.8,OK
BEI.DE,Beiersdorf AG,Consumer,13.5,1.6,9.6,16.3,8.5,1.4,17.4,OK
HEN3.DE,Henkel AG,Consumer,32.0,3.3,20.4,29.5,9.8,1.6,15.5,OK
ZAL.DE,Zalando SE,Consumer,5.3,0.7,13.5,5.3,8.0,0.4,59.9,OK
ADS.DE,Adidas AG,Consumer,29.7,2.7,26.0,24.8,11.2,1.1,18.2,OK
RWE.DE,RWE AG,Energy,62.1,2.4,16.0,46.9,26.1,3.9,13.3,OK
EOAN.DE,E.ON SE,Energy,90.7,10.0,75.2,45.4,9.1,1.2,13.5,OK
DTE.DE,Deutsche Telekom,Telecom,300.4,42.7,123.2,131.6,7.0,2.4,15.5,OK
DHL.DE,Deutsche Post DHL,Logistics,86.4,8.4,85.6,64.7,10.3,1.0,17.6,OK
